candidate_id,study,evidence_class,artifact,artifact_present,status,minimum_columns,closure_test,overclaim_boundary
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,record_distribution.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,visibility_or_contrast_sweep.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
KOCSIS_2011_AVERAGE_TRAJECTORIES,Kocsis et al. 2011,paired_visibility_curve,setting_pairing_notes.md,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,record_distribution.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,visibility_or_contrast_sweep.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
ROZEMA_2012_WEAK_MEASUREMENT_DISTURBANCE,Rozema et al. 2012,paired_visibility_curve,setting_pairing_notes.md,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,record_distribution.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,visibility_or_contrast_sweep.csv,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
KANEDA_2014_ERROR_DISTURBANCE,Kaneda et al. 2014,paired_visibility_curve,setting_pairing_notes.md,False,missing_required_artifact,"which_way_strength_or_setting,record_coordinate,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",fit record distribution once and predict paired visibility or contrast without refit,do not count an independent record distribution without a paired visibility-loss curve
CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution,independent_record_distribution.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution,paired_visibility_or_contrast.csv,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
DURR_1998_COMPLEMENTARITY,Duerr/Nonn/Rempe 1998,independent_record_distribution,independence_provenance.md,False,missing_required_artifact,"setting,record_observable,record_value,record_value_se,visibility_or_contrast,visibility_or_contrast_se,independence_basis,source_note",show the record variable was measured independently before testing no-refit visibility prediction,do not count visibility-derived record variables as independent distribution-to-visibility validation
