package_rank,candidate_id,study,required_artifact,known_legacy_cache_dir,source_file_hint,extraction_status,line_query_command,acceptance_question,overclaim_boundary
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,independent_record_distribution.csv,outputs/tmp/third_hunt_sources/hornberger/extracted,not available,planned,test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/third_hunt_sources/hornberger/extracted,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
4,HORNBERGER_2003_COLLISIONAL_DECOHERENCE,Hackermueller/Hornberger et al. 2003,paired_visibility_or_contrast.csv,outputs/tmp/third_hunt_sources/hornberger/extracted,not available,planned,test -d outputs/tmp/third_hunt_sources/hornberger/extracted && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/third_hunt_sources/hornberger/extracted,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independence_provenance.md,outputs/tmp/second_no_refit_sources/hochrainer/extracted,not available,planned,test -d outputs/tmp/second_no_refit_sources/hochrainer/extracted && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/second_no_refit_sources/hochrainer/extracted,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,independent_record_distribution.csv,outputs/tmp/second_no_refit_sources/hochrainer/extracted,not available,planned,test -d outputs/tmp/second_no_refit_sources/hochrainer/extracted && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/second_no_refit_sources/hochrainer/extracted,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
5,HOCHRAINER_2017_INDUCED_COHERENCE_MOMENTUM_CORRELATION,Hochrainer et al. 2017,paired_visibility_or_contrast.csv,outputs/tmp/second_no_refit_sources/hochrainer/extracted,not available,planned,test -d outputs/tmp/second_no_refit_sources/hochrainer/extracted && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/second_no_refit_sources/hochrainer/extracted,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independence_provenance.md,not available,not available,planned,no known ignored legacy cache; run the retrieval_command before extracting source-package line evidence,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,independent_record_distribution.csv,not available,not available,planned,no known ignored legacy cache; run the retrieval_command before extracting source-package line evidence,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
6,LAHIRI_2017_TWIN_PHOTON_CORRELATIONS,Lahiri et al. 2017,paired_visibility_or_contrast.csv,not available,not available,planned,no known ignored legacy cache; run the retrieval_command before extracting source-package line evidence,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independence_provenance.md,outputs/tmp/third_hunt_sources/cormann,not available,planned,test -d outputs/tmp/third_hunt_sources/cormann && rg -n -i 'independent|provenance|measured|fit|visibility' outputs/tmp/third_hunt_sources/cormann,Does the source show the measured record distribution is independent of the visibility-derived fit target?,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,independent_record_distribution.csv,outputs/tmp/third_hunt_sources/cormann,not available,planned,test -d outputs/tmp/third_hunt_sources/cormann && rg -n -i 'record|distribution|momentum|correlation|width' outputs/tmp/third_hunt_sources/cormann,Does the source expose an independently measured record distribution rather than a value reconstructed from visibility?,do not count visibility-derived record variables as independent distribution-to-visibility validation
7,CORMANN_2016_MODULAR_VALUE,Cormann et al. 2016,paired_visibility_or_contrast.csv,outputs/tmp/third_hunt_sources/cormann,not available,planned,test -d outputs/tmp/third_hunt_sources/cormann && rg -n -i 'visibility|contrast|fringe|coherence|setting' outputs/tmp/third_hunt_sources/cormann,Does the source expose a paired visibility or contrast observable for the same settings as the record distribution?,do not count visibility-derived record variables as independent distribution-to-visibility validation
